id,send_date,comment
1,2016/11/20 16:27,看到EVA就滚进来开女神了
2,2016/11/20 16:29,昨天才3000多播放次数，现在居然都9万多了……
3,2016/11/20 16:29,画质好评。弹幕不说啥了。
4,2016/11/20 16:30,剪辑有点好啊
5,2016/11/20 16:31,系内！
6,2016/11/20 16:31,所以说最后的剧场版什么时候有
7,2016/11/20 16:33,凌波女神
8,2016/11/20 16:34,原来是梦之安魂曲
9,2016/11/20 16:35,画质感人
10,2016/11/20 16:36,有生之年系列。。。。
11,2016/11/20 16:38,好他妈然
12,2016/11/20 16:39,我留这硬币何用
13,2016/11/20 16:39,见初号机滚
14,2016/11/20 16:39,BGM满分
15,2016/11/20 16:40,哦哦哦……这画质……还是3d的
16,2016/11/20 16:41,哇考  我的21:9居然能在b站满屏新科技啊
17,2016/11/20 16:42,画质感人
18,2016/11/20 16:43,我看的eva明明不是这样的…
19,2016/11/20 16:44,youtube上面的画质已经爆炸了！及其炫酷，B站上面被压的好厉害。。。
20,2016/11/20 16:45,如果玩声优梗的话并不是卡卡西是我爱罗
21,2016/11/20 16:45,说没有60FPS的请把画质调到超清
22,2016/11/20 16:45,新剧场第四部无限期跳票啊
23,2016/11/20 16:45,人物有那么帅的吗？！
24,2016/11/20 16:45,火钳刘明~~
25,2016/11/20 16:46,你们看up住
26,2016/11/20 16:46,这个画质太赞了！
27,2016/11/20 16:46,看up主啥时候投的
28,2016/11/20 16:47,没看过EVA的小同学们注意，实际番馁大部分是纯2d画面
29,2016/11/20 16:48,序，破，Q
30,2016/11/20 16:48,这个amv里的仿3d效果多是作者自己苦心做出来的
31,2016/11/20 16:49,但是原作也非常好看，有很多隐晦的人生观的反思
32,2016/11/20 16:49,第四部还不出。。
33,2016/11/20 16:49,这是钢炼的瓶中小人罢
34,2016/11/20 16:49,99年有这样的画质？
35,2016/11/20 16:50,火钳刘明
36,2016/11/20 16:50,- -
37,2016/11/20 16:50,十三使徒
38,2016/11/20 16:50,那部
39,2016/11/20 16:51,这可是动画片的教学大纲
40,2016/11/20 16:52,使徒存活原则：看见没电还能动的初号机赶紧跑！
41,2016/11/20 16:52,先留言在说
42,2016/11/20 16:52,画质真心好
43,2016/11/20 16:53,钢炼人造人的父亲
44,2016/11/20 16:54,没看过EVA的 就悄悄地
45,2016/11/20 16:55,人类补(圈)全(钱)计划
46,2016/11/20 16:55,背景里是《黑客帝国：第三次复兴》
47,2016/11/20 16:56,大角虫
48,2016/11/20 16:56,剧场版的
49,2016/11/20 16:57,刚刚的钢炼什么鬼！
50,2016/11/20 16:57,良心制作
51,2016/11/20 16:58,我第一个女朋友  和绫波零好像
52,2016/11/20 16:58,画质感人
53,2016/11/20 17:00,前方核能
54,2016/11/20 17:00,暂停成功
55,2016/11/20 17:00,日本人说国漫有什么不对？
56,2016/11/20 17:00,要上天吗╭(°A°`)╮
57,2016/11/20 17:00,人比弹幕多
58,2016/11/20 17:00,厉害了
59,2016/11/20 17:01,开头见
60,2016/11/20 17:01,新剧场版应该分上下吧，一部填不完天坑-_-||
61,2016/11/20 17:01,哪里能搞到这么牛逼的画质》》？？
62,2016/11/20 17:02,...这是剧场版啊  当然画质好了
63,2016/11/20 17:02,厉害了我的哥
64,2016/11/20 17:03,壮哉我大EVA
65,2016/11/20 17:04,国民级作品啊 日本当年很多人想死于是出了这部神级作品 到现在依然神级
66,2016/11/20 17:04,熏！！！
67,2016/11/20 17:04,←不用问了没人会告诉你的
68,2016/11/20 17:04,问番的可以出去了
69,2016/11/20 17:04,60帧看着真爽
70,2016/11/20 17:04,虽说看不懂，还是觉得不错
71,2016/11/20 17:04,这是剧场版，跟原作有所不同
72,2016/11/20 17:06,画质点个赞
73,2016/11/20 17:07,见封滚
74,2016/11/20 17:07,Dubstep好评
75,2016/11/20 17:07,233333
76,2016/11/20 17:08,火钳刘明
77,2016/11/20 17:09,EVA果断经来
78,2016/11/20 17:10,我什么钢炼的片段混进来了
79,2016/11/20 17:10,从小看eva长大的你过来 我都不信你家让你看着
80,2016/11/20 17:10,突然想起mememe
81,2016/11/20 17:10,见封滚
82,2016/11/20 17:10,为毛有钢炼的片段！！！！
83,2016/11/20 17:11,哇咔咔
84,2016/11/20 17:11,感觉看的不是一个番
85,2016/11/20 17:11,感觉看的不是一个东西
86,2016/11/20 17:12,1738个小伙伴你呢萌好！
87,2016/11/20 17:13,看得我都想再看一遍了
88,2016/11/20 17:14,出售初号机玩具模型，淘宝小草
89,2016/11/20 17:14,十三号机
90,2016/11/20 17:15,量产机
91,2016/11/20 17:15,老婆
92,2016/11/20 17:16,如果这都不算爱
93,2016/11/20 17:16,十八号机
94,2016/11/20 17:16,零号机
95,2016/11/20 17:18,牛逼
96,2016/11/20 17:19,剧场版就是这画质啊
97,2016/11/20 17:20,开头见
98,2016/11/20 17:20,啊啊啊！大爱一生
99,2016/11/20 17:20,哎，发觉能跟自己分享动漫的知己越来越少了。
100,2016/11/20 17:20,前方钢炼乱入
101,2016/11/20 17:22,一个镜头卡一次
102,2016/11/20 17:23,人比弹幕多 系列
103,2016/11/20 17:24,第一
104,2016/11/20 17:25,这里配的毫无违和感
105,2016/11/20 17:25,这里配的毫无违和感
106,2016/11/20 17:29, 新世纪福音战士
107,2016/11/20 17:29,卧槽牛逼疯了！！！
108,2016/11/20 17:30,爆炸
109,2016/11/20 17:30,bgm是什么
110,2016/11/20 17:31,求番名
