rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
1,肖申克的救赎,9.6,919251, 弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,希望让人自由。,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.5,663411, 陈凯歌 Kaige Chen,1993,中国大陆 香港,剧情 爱情 同性,风华绝代。,https://movie.douban.com/subject/1291546/
3,这个杀手不太冷,9.4,872905, 吕克·贝松 Luc Besson,1994,法国,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
4,阿甘正传,9.4,742603, Robert Zemeckis,1994,美国,剧情 爱情,一部美国近现代史。,https://movie.douban.com/subject/1292720/
5,美丽人生,9.5,433628, 罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,最美的谎言。,https://movie.douban.com/subject/1292063/
6,千与千寻,9.2,692808, 宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
7,辛德勒的名单,9.4,398425, 史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
8,泰坦尼克号,9.2,682800, 詹姆斯·卡梅隆 James Cameron,1997,美国,剧情 爱情 灾难,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
9,盗梦空间,9.3,791668, 克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 动作 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,机器人总动员,9.3,517492, 安德鲁·斯坦顿 Andrew Stanton,2008,美国,喜剧 爱情 科幻 动画 冒险,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
11,海上钢琴师,9.2,618799, 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
12,三傻大闹宝莱坞,9.1,701247, 拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
13,忠犬八公的故事,9.2,477199, 莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
14,放牛班的春天,9.2,471196, 克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
