title,area,price,low_price,high_price,avg,type,storage,halls,good,ok,bad,address,phone_num
武汉新世界酒店,硚口区,1888-5988,1888,5988,3938,星级酒店,5,4,3,0,0,武汉市硚口区解放大道630号,027-87823715
东方建国大酒店,江汉区,1888-3588,1888,3588,2738,星级酒店,50,2,4,0,0,武汉市江汉区发展大道185号,027-87823715
楚天粤海国际大酒店,东西湖区,1999-3380,1999,3380,2689,星级酒店,20,1,2,0,0,武汉市东湖风景区东湖路181号,027-87823715
武汉晴川假日酒店,汉阳区,2088,2088,2088,2088,星级酒店,34,4,7,0,0,武汉市汉阳区洗马长街88号,027-87823715
巴山夜雨总督府,武昌区,1688,1688,1688,1688,品牌餐饮,6,6,2,0,0,武汉市武昌区民主路768号,027-87823761
武汉长江大酒店,硚口区,1099,1099,1099,1099,星级酒店,12,3,3,0,0,武汉市硚口区解放大道1131号,027-87823715
玛雅嘉途酒店,青山区,2399-3699,2399,3699,3049,星级酒店,25,2,3,2,0,武汉市青山区欢乐大道218号,027-87823761
武汉园博婚礼中心,东西湖区,2288-5888,2288,5888,4088,婚礼会所,36,4,2,0,0,武汉市东西湖区园博园北门婚礼营销中心,
欧亚会展国际酒店,东西湖区,1999,1999,1999,1999,星级酒店,108,6,6,0,0,武汉市东西湖区金银湖路20号,027-87823715
水之·艺江南庭院餐厅,汉阳区,1798-2098,1798,2098,1948,特色场地,,1,2,0,0,武汉市汉阳区汉阳造创意园,027-87823715
月禾宴,硚口区,1588-1888,1588,1888,1738,品牌餐饮,40,4,4,1,0,武汉市硚口区解放大道与宝丰路交汇处中御广场3楼,027-82775775
潮漫凯瑞国际酒店,东西湖区,1688,1688,1688,1688,星级酒店,80,2,2,0,0,武汉市东湖开发区高新大道408号,027-87823761
紫缘酒店,洪山区,1599-2599,1599,2599,2099,星级酒店,16,4,1,0,0,武汉市洪山区野芷湖西路16号创意天地园区,027-87823715
天怡空中宴会馆,汉阳区,1998-3898,1998,3898,2948,特色场地,10,2,4,0,0,武汉市汉阳区琴台大剧院五楼,027-87823715
良辰美景大酒店,汉阳区,1088,1088,1088,1088,星级酒店,8,3,0,0,0,武汉市汉阳区汉阳大道磨山集团内,027-87823715
吉祥大酒店,武昌区,1188-1598,1188,1598,1393,品牌餐饮,4,3,2,0,0,武汉市武昌区体育馆路12,027-87823761
兆瑞国际大酒店,江岸区,1688,1688,1688,1688,星级酒店,32,1,1,0,0,武汉市江岸区高雄路160号,027-87823715
武汉天际丽豪大酒店,青山区,1799-1999,1799,1999,1899,星级酒店,38,2,1,0,0,武汉市青山区和平街仁和路98号,027-87823761
船长9号游轮婚礼,江汉区,1799-3599,1799,3599,2699,特色场地,10,1,1,0,0,武汉市江汉区港二十三码头,027-87823715
武汉五月花大酒店,武昌区,1388-4888,1388,4888,3138,星级酒店,28,3,13,0,0,武汉市武昌区武珞路385号（傅家坡长途汽车客运站对面）,027-87823761
光明万丽酒店,武昌区,3288,3288,3288,3288,星级酒店,18,1,1,0,0,武汉市武昌区徐东大街160号,027-87823715
艳阳景轩（光谷店）,洪山区,998-1388,998,1388,1193,品牌餐饮,38,3,1,0,0,武汉市洪山区洪山区关山大道328号中杰阳光哈乐城,027-87823761
金贵源食神,武昌区,1999-2999,1999,2999,2499,品牌餐饮,8,7,4,0,0,武汉市武昌区余家湖村公正路35号,027-87823761
联投半岛酒店,汉阳区,3288-3988,3288,3988,3638,星级酒店,112,1,2,0,0,武汉市汉阳区沌口经济技术开发区车城大道联投半岛营销中心东南侧170米,027-84756666
友谊国际酒店,武昌区,1999-2699,1999,2699,2349,星级酒店,48,2,2,0,0,武汉市武昌区友谊大道友谊国际家居广场门旁,027-87823715
新华诺富特大饭店,江汉区,1888-2599,1888,2599,2243,星级酒店,66,4,1,0,0,武汉市江汉区汉口建设大道558号,027-87823715
武汉锦江国际大酒店,江岸区,2888,2888,2888,2888,星级酒店,30,2,1,0,0,武汉市江岸区建设大道707号,027-87823715
东湖宾馆,东西湖区,2988,2988,2988,2988,星级酒店,120,6,4,0,0,武汉市东湖风景区东湖路142号,027-87823761
武汉洲际酒店,汉阳区,3888-6688,3888,6688,5288,星级酒店,320,9,1,0,0,武汉市汉阳区晴川大道666号,027-84840000
亚洲大酒店,硚口区,1799,1799,1799,1799,星级酒店,6,2,9,0,1,武汉市硚口区汉口解放大道616号,027-87823715
武汉阳光酒店,江汉区,1588-2188,1588,2188,1888,星级酒店,34,2,2,0,0,武汉市江汉区常青路149号,027-87823715
F、天下会议中心,黄陂区,1288-2588,1288,2588,1938,特色场地,5,4,3,0,0,武汉市黄陂区盘龙城经济开发区巨龙大道196号,027-87823715
洪广大酒店,武昌区,1288-1788,1288,1788,1538,星级酒店,20,2,4,1,0,武汉市武昌区民主路782号,027-87823761
武汉万科君澜酒店,江汉区,1299-5899,1299,5899,3599,星级酒店,20,2,11,0,0,武汉市江汉区常青路177号万科城,027-59810777
沌口长江大酒店,汉阳区,999,999,999,999,星级酒店,28,4,2,0,0,武汉市汉阳区经济技术开发区创业道128号,
武汉金谷国际酒店,洪山区,1688,1688,1688,1688,星级酒店,38,6,1,0,0,武汉市洪山区东湖高新技术开发区民族大道308号,027-87823715
纽宾凯金银湖国际酒店,东西湖区,1488,1488,1488,1488,喜宴酒店,15,1,3,0,0,武汉市东西湖区金银湖路18号,027-87823715
纽宾凯国际酒店新华路店,江汉区,,0,0,0,喜宴酒店,5,1,2,0,0,武汉市江汉区江汉区新华路151号,027-87823715
纽宾凯光谷国际酒店,洪山区,1288-2088,1288,2088,1688,喜宴酒店,6,3,1,0,0,武汉市洪山区洪山区东湖新技术开发区光谷六路18号,027-87823715
武汉光谷金盾大酒店,洪山区,2399,2399,2399,2399,星级酒店,15,2,2,0,0,武汉市洪山区吴家湾特一号,027-87823761
中天世纪大酒店,洪山区,1388-2888,1388,2888,2138,星级酒店,1,5,1,0,0,武汉市洪山区南湖大道政院路特1号(近中南财大),027-87823761
武汉中原国际大酒店,江岸区,1588-6188,1588,6188,3888,星级酒店,3,4,1,0,0,武汉市江岸区黄浦大街27号,027-87823715
盛秦风臻宴,武昌区,,0,0,0,品牌餐饮,15,2,1,0,0,武汉市武昌区友谊大道秦园居（湖北大学斜对面）,027-87823761
莱斯国际酒店,武昌区,1688-2388,1688,2388,2038,星级酒店,20,1,1,0,0,武汉市武昌区中北路259号,027-87823761
和宴,东西湖区,1188,1188,1188,1188,品牌餐饮,50,,2,0,0,武汉市东西湖区金山大道特8号万科高尔夫城市花园(近银湖翡翠),027-87823715
梁子湖龙湾度假村,江夏区,888-1688,888,1688,1288,品牌餐饮,10,3,2,0,0,武汉市江夏区梁子湖大道特一号,027-87823761
国创楚源东湖酒店,武昌区,1388-2188,1388,2188,1788,星级酒店,35,1,1,0,0,武汉市武昌区东湖路-道路,027-87823761
武汉中南花园饭店,洪山区,,0,0,0,星级酒店,,,1,0,0,武汉市洪山区武昌武珞路558号,
武汉九通海源酒店,东西湖区,,0,0,0,喜宴酒店,55,,1,0,0,武汉市东湖开发区武汉东湖新技术开发区光谷大道金融港四路,027-87823761
艳阳天酒家丁字桥店,武昌区,800-1088,800,1088,944,品牌餐饮,16,1,1,0,0,武汉市武昌区丁字桥路98号,027-87823761
艳阳天新荆楚酒店黄鹤楼店,武昌区,999-1188,999,1188,1093,品牌餐饮,35,1,1,0,0,武汉市武昌区彭刘杨路235号,027-87823761
艳阳景轩（后湖店）,江岸区,1388-3288,1388,3288,2338,品牌餐饮,4,3,1,0,0,武汉市江岸区后湖大道99号（金桥大道老年大学或后湖大道体育中心下）,027-87823715
王府井酒店（青山店）,青山区,1188,1188,1188,1188,喜宴酒店,15,2,1,0,0,武汉市青山区友谊大道钢洲花园,027-87823761
